                                             三國志III 人物表                                              
┏━━━━━┳━━━━━━━━┳━━━━━━┳━━━━━━┳━━━━━━┳━━━━━━┳━━━━━━┳━━━━━━┳━━━━━━┳━━━━━━┳━━━━━━┳━━━━━━┳━━━━━━┳━━━━━━┳━━━━━━┓
┃ ID  ┃ 姓名   ┃   顏 ┃ 野心 ┃ 運氣 ┃ 冷靜 ┃ 勇猛 ┃ 陸指 ┃ 水指 ┃ 武力 ┃ 智力 ┃ 政治 ┃ 魅力 ┃ 相性 ┃ 義理 ┃
┡━━━━━╇━━━━━━━━╇━━━━━━╇━━━━━━╇━━━━━━╇━━━━━━╇━━━━━━╇━━━━━━╇━━━━━━╇━━━━━━╇━━━━━━╇━━━━━━╇━━━━━━╇━━━━━━╇━━━━━━┩
│  0  │ 袁紹   │    2 │    2 │    2 │    1 │    3 │   71 │   71 │   80 │   71 │   64 │   61 │  101 │   35 │
│  1  │ 曹操   │  102 │    3 │    3 │    3 │    1 │   93 │   59 │   89 │   94 │   90 │   98 │   25 │   70 │
│  2  │ 袁術   │    4 │    3 │    1 │    1 │    1 │   71 │   63 │   79 │   67 │   61 │   53 │  140 │   39 │
│  3  │ 劉表   │  159 │    0 │    2 │    1 │    0 │   70 │   67 │   70 │   65 │   74 │   69 │   45 │   76 │
│  4  │ 韓馥   │   39 │    1 │    2 │    1 │    3 │   50 │   22 │   57 │   52 │   64 │   54 │  139 │   57 │
│  5  │ 劉繇   │  193 │    0 │    3 │    1 │    0 │   18 │    6 │   20 │   41 │   53 │   22 │  105 │   25 │
│  6  │ 劉焉   │  155 │    0 │    3 │    1 │    3 │   38 │   19 │   43 │   72 │   83 │   86 │   55 │   85 │
│  7  │ 喬瑁   │  191 │    2 │    1 │    1 │    1 │   59 │   26 │   62 │   58 │   42 │   32 │  120 │   59 │
│  8  │ 董卓   │  133 │    3 │    3 │    2 │    1 │   78 │   19 │   89 │   54 │   46 │   42 │    0 │   39 │
│  9  │ 劉備   │  160 │    2 │    3 │    3 │    0 │   60 │   29 │   68 │   78 │   82 │   99 │   75 │  100 │
│ 10  │ 孫堅   │  105 │    3 │    1 │    0 │    2 │   81 │   90 │   90 │   84 │   72 │   87 │  125 │   68 │
│ 11  │ 陶謙   │  131 │    1 │    3 │    1 │    3 │   42 │   21 │   53 │   57 │   64 │   75 │   82 │   79 │
│ 12  │ 嚴白虎 │  194 │    2 │    3 │    1 │    1 │   69 │   28 │   74 │   52 │   47 │   59 │   40 │   63 │
│ 13  │ 公孫瓚 │   63 │    2 │    1 │    1 │    2 │   67 │   28 │   71 │   70 │   64 │   58 │   60 │   60 │
│ 14  │ 王朗   │    9 │    2 │    2 │    1 │    2 │   43 │   11 │   46 │   60 │   62 │   62 │   32 │   47 │
│ 15  │ 馬騰   │  139 │    2 │    2 │    1 │    0 │   89 │   50 │   94 │   53 │   49 │   88 │   70 │   91 │
│ 16  │ 孔秀   │  192 │    1 │    3 │    1 │    3 │   60 │   22 │   70 │   59 │   47 │   41 │   39 │   64 │
│ 17  │ 孔融   │   66 │    1 │    0 │    2 │    0 │   67 │   63 │   58 │   83 │   76 │   64 │   19 │   56 │
│ 18  │ 嚴顏   │   56 │    1 │    2 │    1 │    3 │   87 │   73 │   86 │   71 │   68 │   76 │   68 │   80 │
│ 19  │ 車冑   │ 9831 │    2 │    0 │    1 │    2 │   70 │   70 │   72 │   60 │   48 │   77 │   21 │   40 │
│ 20  │ 楊懷   │ 82CB │    1 │    3 │    1 │    3 │   71 │   21 │   75 │   44 │   32 │   60 │   53 │   68 │
│ 21  │ 朱雋   │ 9C4C │    1 │    2 │    2 │    0 │   78 │   70 │   75 │   60 │   74 │   80 │   88 │   84 │
│ 22  │ 華雄   │   28 │    2 │    1 │    2 │    0 │   89 │   72 │   90 │   29 │   23 │   40 │    1 │   76 │
│ 23  │ 韓嵩   │   35 │    1 │    3 │    2 │    0 │   30 │   11 │   38 │   71 │   82 │   57 │   40 │   51 │
│ 24  │ 太史慈 │  110 │    2 │    0 │    2 │    1 │   81 │   73 │   94 │   67 │   59 │   70 │  120 │   77 │
│ 25  │ 蔡瑁   │   70 │    1 │    3 │    0 │    3 │   67 │   85 │   70 │   68 │   75 │   54 │   36 │   81 │
│ 26  │ 袁尚   │    3 │    2 │    2 │    1 │    2 │   74 │   20 │   69 │   63 │   57 │   51 │  101 │   78 │
│ 27  │ 黃祖   │   61 │    1 │    3 │    1 │    3 │   63 │   20 │   66 │   43 │   39 │   31 │   40 │   40 │
│ 28  │ 蒯良   │   11 │    2 │    1 │    1 │    2 │   27 │   10 │   30 │   72 │   80 │   58 │   40 │   60 │
│ 29  │ 賈華   │ 82A3 │    1 │    3 │    1 │    3 │   58 │   38 │   62 │   60 │   59 │   52 │  115 │   65 │
