                                             三國志III 人物表                                              
┏━━━━━┳━━━━━━━━┳━━━━━━┳━━━━━━┳━━━━━━┳━━━━━━┳━━━━━━┳━━━━━━┳━━━━━━┳━━━━━━┳━━━━━━┳━━━━━━┳━━━━━━┳━━━━━━┳━━━━━━┓
┃ ID  ┃ 姓名   ┃   顏 ┃ 野心 ┃ 運氣 ┃ 冷靜 ┃ 勇猛 ┃ 陸指 ┃ 水指 ┃ 武力 ┃ 智力 ┃ 政治 ┃ 魅力 ┃ 相性 ┃ 義理 ┃
┡━━━━━╇━━━━━━━━╇━━━━━━╇━━━━━━╇━━━━━━╇━━━━━━╇━━━━━━╇━━━━━━╇━━━━━━╇━━━━━━╇━━━━━━╇━━━━━━╇━━━━━━╇━━━━━━╇━━━━━━┩
│  0  │ 曹叡   │   93 │    3 │    2 │    2 │    0 │   64 │   60 │   68 │   80 │   72 │   73 │   25 │   80 │
│  1  │ 劉禪   │  158 │    0 │    1 │    1 │    3 │   18 │    4 │   22 │   20 │   32 │   64 │   75 │   80 │
│  2  │ 孫權   │  107 │    3 │    2 │    1 │    2 │   80 │   95 │   86 │   87 │   71 │   98 │  125 │   96 │
│  3  │ 閻圃   │  189 │    1 │    3 │    1 │    3 │   27 │   14 │   36 │   80 │   78 │   48 │    5 │   65 │
│  4  │ 司馬昭 │   80 │    2 │    2 │    2 │    0 │   75 │   72 │   66 │   85 │   82 │   70 │   26 │   78 │
│  5  │ 王基   │ 9D1E │    2 │    0 │    1 │    3 │   71 │   70 │   72 │   69 │   47 │   71 │   28 │   57 │
│  6  │ 公孫淵 │   67 │    3 │    2 │    2 │    2 │   73 │   71 │   72 │   65 │   60 │   74 │   10 │   10 │
│  7  │ 文聘   │  145 │    1 │    3 │    1 │    3 │   78 │   71 │   84 │   24 │   18 │   65 │   38 │   61 │
│  8  │ 周泰   │   81 │    2 │    1 │    1 │    3 │   78 │   72 │   84 │   53 │   47 │   61 │  124 │   75 │
│  9  │ 虞翻   │   53 │    2 │    1 │    2 │    0 │   32 │   15 │   40 │   78 │   80 │   76 │  132 │   79 │
│ 10  │ 姜敘   │ 89DA │    1 │    3 │    1 │    3 │   72 │   71 │   79 │   54 │   41 │   70 │   19 │   70 │
│ 11  │ 李典   │  214 │    1 │    3 │    2 │    1 │   73 │   70 │   72 │   47 │   36 │   53 │   22 │   69 │
│ 12  │ 王平   │  220 │    2 │    2 │    1 │    3 │   72 │   70 │   72 │   67 │   59 │   81 │   68 │   76 │
│ 13  │ 司馬師 │   79 │    2 │    3 │    2 │    0 │   79 │   76 │   65 │   87 │   81 │   75 │   26 │   85 │
│ 14  │ 伍習   │ 9654 │    2 │    2 │    1 │    3 │   71 │   70 │   73 │   62 │   38 │   78 │   30 │   42 │
│ 15  │ 蔣琬   │   83 │    2 │    0 │    1 │    3 │   73 │   70 │   60 │   85 │   80 │   84 │   77 │   90 │
│ 16  │ 趙廣   │  124 │    1 │    2 │    2 │    2 │   70 │   70 │   73 │   64 │   53 │   69 │   75 │   70 │
│ 17  │ 夏侯霸 │   26 │    2 │    3 │    1 │    3 │   82 │   74 │   87 │   59 │   55 │   71 │   25 │   89 │
│ 18  │ 鄧艾   │  143 │    2 │    0 │    2 │    0 │   87 │   75 │   85 │   93 │   81 │   74 │   29 │   60 │
│ 19  │ 夏侯和 │   31 │    2 │    0 │    1 │    3 │   77 │   73 │   80 │   80 │   63 │   70 │   25 │   87 │
│ 20  │ 田疇   │ 9DF9 │    1 │    1 │    1 │    3 │   75 │   70 │   70 │   47 │   58 │   76 │   93 │   72 │
│ 21  │ 李恢   │  180 │    1 │    3 │    1 │    3 │   72 │   70 │   70 │   88 │   76 │   78 │   65 │   80 │
│ 22  │ 諸葛恪 │   74 │    2 │    1 │    1 │    3 │   69 │   75 │   52 │   95 │   83 │   75 │  122 │   82 │
│ 23  │ 趙昂   │ 8CD4 │    1 │    3 │    1 │    3 │   73 │   70 │   72 │   53 │   49 │   80 │   18 │   84 │
│ 24  │ 丁奉   │  209 │    1 │    3 │    1 │    3 │   70 │   70 │   75 │   65 │   74 │   71 │  122 │   64 │
│ 25  │ 陸遜   │  165 │    2 │    1 │    1 │    3 │   71 │   99 │   80 │   95 │   87 │   88 │  126 │   89 │
│ 26  │ 全綜   │ 8699 │    1 │    1 │    1 │    2 │   73 │   70 │   82 │   70 │   36 │   73 │  131 │   76 │
│ 27  │ 滿寵   │  149 │    2 │    0 │    1 │    3 │   72 │   70 │   38 │   81 │   70 │   94 │   29 │   85 │
│ 28  │ 馬岱   │  188 │    1 │    1 │    2 │    1 │   74 │   71 │   81 │   47 │   39 │   73 │   71 │   76 │
│ 29  │ 陳群   │  125 │    2 │    2 │    2 │    0 │   70 │   66 │   50 │   92 │   81 │   75 │   29 │   80 │
│ 30  │ 陳泰   │  207 │    2 │    2 │    1 │    3 │   72 │   70 │   79 │   78 │   69 │   69 │   29 │   47 │
│ 31  │ 鄧芝   │  132 │    2 │    0 │    2 │    0 │   70 │   68 │   52 │   83 │   79 │   95 │   70 │   80 │
│ 32  │ 朱桓   │   82 │    2 │    3 │    1 │    3 │   76 │   81 │   83 │   75 │   69 │   82 │  120 │   85 │
│ 33  │ 張魯   │  122 │    2 │    2 │    2 │    0 │   73 │   70 │   72 │   80 │   69 │   89 │   10 │   77 │
│ 34  │ 孫桓   │ 9970 │    2 │    0 │    1 │    2 │   63 │   81 │   70 │   52 │   58 │   73 │  127 │   68 │
│ 35  │ 許褚   │   45 │    2 │    2 │    2 │    2 │   94 │   76 │   97 │   25 │   19 │   69 │   25 │   90 │
│ 36  │ 徐庶   │   91 │    0 │    3 │    2 │    1 │   85 │   74 │   65 │   95 │   87 │   85 │   65 │   79 │
│ 37  │ 傅嬰   │ 9624 │    2 │    0 │    1 │    3 │   74 │   71 │   71 │   55 │   42 │   65 │  126 │   63 │
│ 38  │ 孫韶   │ 95FD │    2 │    0 │    1 │    3 │   65 │   82 │   72 │   32 │   21 │   70 │  124 │   51 │
│ 39  │ 凌統   │  181 │    2 │    2 │    1 │    3 │   71 │   70 │   81 │   65 │   57 │   74 │  120 │   84 │
│ 40  │ 呂義   │ 9219 │    1 │    2 │    1 │    3 │   71 │   71 │   74 │   70 │   62 │   76 │   69 │   69 │
│ 41  │ 張燕   │ 86F9 │    1 │    2 │    2 │    0 │   75 │   70 │   71 │   52 │   44 │   75 │   40 │   59 │
│ 42  │ 郭奕   │   14 │    2 │    1 │    1 │    3 │   23 │   13 │   29 │   65 │   80 │   47 │   25 │   58 │
│ 43  │ 夏侯威 │   19 │    2 │    0 │    1 │    3 │   75 │   71 │   75 │   72 │   67 │   70 │   25 │   90 │
│ 44  │ 王昌   │ 9492 │    1 │    1 │    1 │    3 │   60 │   23 │   64 │   52 │   39 │   73 │    6 │   89 │
│ 45  │ 胡班   │ 9171 │    1 │    2 │    1 │    3 │   65 │   24 │   70 │   62 │   50 │   69 │   19 │   81 │
│ 46  │ 公孫度 │ 921E │    2 │    2 │    2 │    1 │   72 │   72 │   74 │   61 │   53 │   71 │   10 │   62 │
│ 47  │ 吳質   │ C283 │    0 │    3 │    2 │    0 │   35 │   16 │   42 │   61 │   73 │   64 │   29 │   75 │
│ 48  │ 賈逵   │  197 │    1 │    3 │    2 │    0 │   54 │   20 │   55 │   64 │   71 │   68 │   29 │   73 │
│ 49  │ 吳敦   │ 8D94 │    1 │    2 │    1 │    3 │   61 │   18 │   64 │   62 │   54 │   47 │   18 │   48 │
│ 50  │ 蔡融   │ CCF9 │    2 │    0 │    1 │    1 │   41 │   27 │   45 │   59 │   62 │   38 │  107 │   52 │
│ 51  │ 左靈   │ CC22 │    1 │    1 │    1 │    3 │   52 │   18 │   53 │   61 │   68 │   42 │    3 │   69 │
│ 52  │ 司馬懿 │   78 │    3 │    3 │    2 │    2 │   95 │   79 │   62 │   98 │   90 │   80 │   26 │   89 │
│ 53  │ 王匡   │ 8ECA │    1 │    2 │    1 │    2 │   47 │   25 │   51 │   40 │   35 │   45 │  120 │   47 │
│ 54  │ 王楷   │ D65A │    1 │    2 │    2 │    0 │   29 │    8 │   32 │   54 │   60 │   25 │   18 │   47 │
│ 55  │ 司馬朗 │ D50A │    2 │    2 │    2 │    1 │   28 │   23 │   41 │   69 │   83 │   52 │   26 │   87 │
│ 56  │ 劉曄   │  161 │    2 │    1 │    2 │    0 │   73 │   70 │   35 │   85 │   73 │   80 │   28 │   89 │
│ 57  │ 審榮   │ 8531 │    1 │    1 │    1 │    2 │   45 │   24 │   55 │   48 │   52 │   49 │  121 │   34 │
│ 58  │ 尹奉   │ 8130 │    1 │    3 │    1 │    3 │   61 │   42 │   63 │   49 │   61 │   54 │   20 │   73 │
│ 59  │ 申耽   │ 946A │    2 │    0 │    1 │    1 │   61 │   28 │   72 │   56 │   48 │   60 │   32 │   70 │
│ 60  │ 辛明   │ 94F5 │    1 │    3 │    1 │    3 │   54 │   26 │   59 │   48 │   42 │   65 │  109 │   82 │
│ 61  │ 郭淮   │  187 │    2 │    0 │    1 │    3 │   53 │   20 │   58 │   66 │   67 │   50 │   15 │   48 │
│ 62  │ 郭攸之 │   41 │    1 │    3 │    1 │    3 │   45 │   31 │   38 │   75 │   85 │   70 │   80 │   76 │
│ 63  │ 王修   │ D098 │    1 │    2 │    1 │    0 │   37 │   15 │   42 │   65 │   68 │   69 │  148 │   74 │
│ 64  │ 王忠   │ 8242 │    1 │    3 │    1 │    3 │   53 │   17 │   55 │   37 │   34 │   50 │   40 │   64 │
│ 65  │ 朱靈   │ 92FD │    2 │    1 │    2 │    0 │   69 │   25 │   74 │   35 │   30 │   39 │   34 │   70 │
