                                             三國志III 人物表                                              
┏━━━━━┳━━━━━━━━┳━━━━━━┳━━━━━━┳━━━━━━┳━━━━━━┳━━━━━━┳━━━━━━┳━━━━━━┳━━━━━━┳━━━━━━┳━━━━━━┳━━━━━━┳━━━━━━┳━━━━━━┓
┃ ID  ┃ 姓名   ┃   顏 ┃ 野心 ┃ 運氣 ┃ 冷靜 ┃ 勇猛 ┃ 陸指 ┃ 水指 ┃ 武力 ┃ 智力 ┃ 政治 ┃ 魅力 ┃ 相性 ┃ 義理 ┃
┡━━━━━╇━━━━━━━━╇━━━━━━╇━━━━━━╇━━━━━━╇━━━━━━╇━━━━━━╇━━━━━━╇━━━━━━╇━━━━━━╇━━━━━━╇━━━━━━╇━━━━━━╇━━━━━━╇━━━━━━┩
│  0  │ 孟獲   │  150 │    2 │    1 │    1 │    3 │   86 │   72 │   89 │   17 │    6 │   34 │   52 │   28 │
│  1  │ 劉備   │  160 │    2 │    3 │    3 │    0 │   60 │   29 │   68 │   78 │   82 │   99 │   75 │  100 │
│  2  │ 曹丕   │  103 │    3 │    3 │    2 │    2 │   65 │   25 │   68 │   65 │   73 │   70 │   25 │   79 │
│  3  │ 孫權   │  107 │    3 │    2 │    1 │    2 │   80 │   95 │   86 │   87 │   71 │   98 │  125 │   96 │
│  4  │ 魏延   │   51 │    1 │    3 │    1 │    3 │   80 │   75 │   92 │   45 │   28 │   41 │   86 │   30 │
│  5  │ 滿寵   │  149 │    2 │    0 │    1 │    3 │   72 │   70 │   38 │   81 │   70 │   94 │   29 │   85 │
│  6  │ 曹叡   │   93 │    3 │    2 │    2 │    0 │   64 │   60 │   68 │   80 │   72 │   73 │   25 │   80 │
│  7  │ 徐庶   │   91 │    0 │    3 │    2 │    1 │   85 │   74 │   65 │   95 │   87 │   85 │   65 │   79 │
│  8  │ 夏侯惠 │   22 │    1 │    3 │    1 │    3 │   81 │   73 │   82 │   81 │   61 │   76 │   25 │   90 │
│  9  │ 嚴顏   │   56 │    1 │    2 │    1 │    3 │   87 │   73 │   86 │   71 │   68 │   76 │   68 │   80 │
│ 10  │ 曹真   │   99 │    2 │    2 │    2 │    0 │   78 │   70 │   73 │   61 │   48 │   72 │   24 │   79 │
│ 11  │ 夏侯惇 │   24 │    2 │    1 │    3 │    1 │   90 │   76 │   95 │   60 │   54 │   75 │   25 │   90 │
│ 12  │ 郝昭   │   17 │    2 │    2 │    1 │    3 │   80 │   76 │   85 │   76 │   70 │   83 │   23 │   93 │
│ 13  │ 趙雲   │  112 │    1 │    3 │    3 │    2 │   87 │   83 │   98 │   84 │   80 │   93 │   75 │   90 │
│ 14  │ 夏侯威 │   19 │    2 │    0 │    1 │    3 │   75 │   71 │   75 │   72 │   67 │   70 │   25 │   90 │
│ 15  │ 劉曄   │  161 │    2 │    1 │    2 │    0 │   73 │   70 │   35 │   85 │   73 │   80 │   28 │   89 │
│ 16  │ 姜敘   │ 89DA │    1 │    3 │    1 │    3 │   72 │   71 │   79 │   54 │   41 │   70 │   19 │   70 │
│ 17  │ 張魯   │  122 │    2 │    2 │    2 │    0 │   73 │   70 │   72 │   80 │   69 │   89 │   10 │   77 │
│ 18  │ 楊儀   │  212 │    2 │    0 │    1 │    3 │   73 │   70 │   70 │   61 │   72 │   71 │   71 │   65 │
│ 19  │ 凌統   │  181 │    2 │    2 │    1 │    3 │   71 │   70 │   81 │   65 │   57 │   74 │  120 │   84 │
│ 20  │ 黃蓋   │   58 │    1 │    1 │    2 │    3 │   74 │   80 │   86 │   66 │   48 │   81 │  126 │   89 │
│ 21  │ 諸葛瑾 │   75 │    2 │    1 │    2 │    0 │   46 │   46 │   55 │   91 │   80 │   95 │  122 │   91 │
│ 22  │ 曹植   │   98 │    0 │    2 │    1 │    2 │   12 │   10 │   15 │   76 │   82 │   83 │   25 │   84 │
│ 23  │ 張和   │  114 │    2 │    3 │    2 │    0 │   88 │   77 │   90 │   62 │   51 │   63 │   22 │   47 │
│ 24  │ 張飛   │  119 │    2 │    3 │    3 │    0 │   83 │   70 │   99 │   30 │   18 │   36 │   75 │   89 │
│ 25  │ 田疇   │ 9DF9 │    1 │    1 │    1 │    3 │   75 │   70 │   70 │   47 │   58 │   76 │   93 │   72 │
│ 26  │ 公孫度 │ 921E │    2 │    2 │    2 │    1 │   72 │   72 │   74 │   61 │   53 │   71 │   10 │   62 │
│ 27  │ 夏侯霸 │   26 │    2 │    3 │    1 │    3 │   82 │   74 │   87 │   59 │   55 │   71 │   25 │   89 │
│ 28  │ 夏侯和 │   31 │    2 │    0 │    1 │    3 │   77 │   73 │   80 │   80 │   63 │   70 │   25 │   87 │
│ 29  │ 孫韶   │ 95FD │    2 │    0 │    1 │    3 │   65 │   82 │   72 │   32 │   21 │   70 │  124 │   51 │
│ 30  │ 甘寧   │   38 │    1 │    3 │    1 │    3 │   84 │   72 │   91 │   54 │   42 │   58 │  127 │   76 │
│ 31  │ 張休   │  172 │    2 │    0 │    1 │    3 │   44 │   39 │   35 │   71 │   82 │   74 │  122 │   75 │
│ 32  │ 張燕   │ 86F9 │    1 │    2 │    2 │    0 │   75 │   70 │   71 │   52 │   44 │   75 │   40 │   59 │
│ 33  │ 曹洪   │   95 │    2 │    0 │    1 │    3 │   74 │   72 │   74 │   47 │   41 │   75 │   25 │   80 │
│ 34  │ 全綜   │ 8699 │    1 │    1 │    1 │    2 │   73 │   70 │   82 │   70 │   36 │   73 │  131 │   76 │
│ 35  │ 曹仁   │  101 │    2 │    3 │    2 │    3 │   79 │   72 │   83 │   62 │   57 │   67 │   25 │   85 │
│ 36  │ 虞翻   │   53 │    2 │    1 │    2 │    0 │   32 │   15 │   40 │   78 │   80 │   76 │  132 │   79 │
│ 37  │ 程普   │  127 │    1 │    3 │    2 │    1 │   73 │   82 │   69 │   81 │   70 │   85 │  123 │   88 │
│ 38  │ 徐晃   │   90 │    2 │    3 │    1 │    3 │   83 │   75 │   91 │   49 │   41 │   62 │   23 │   70 │
│ 39  │ 張遼   │  121 │    2 │    2 │    2 │    0 │   87 │   74 │   90 │   80 │   68 │   83 │   22 │   89 │
│ 40  │ 鄧芝   │  132 │    2 │    0 │    2 │    0 │   70 │   68 │   52 │   83 │   79 │   95 │   70 │   80 │
│ 41  │ 丁奉   │  209 │    1 │    3 │    1 │    3 │   70 │   70 │   75 │   65 │   74 │   71 │  122 │   64 │
│ 42  │ 孫桓   │ 9970 │    2 │    0 │    1 │    2 │   63 │   81 │   70 │   52 │   58 │   73 │  127 │   68 │
│ 43  │ 韓嵩   │   35 │    1 │    3 │    2 │    0 │   30 │   11 │   38 │   71 │   82 │   57 │   40 │   51 │
│ 44  │ 郭淮   │  187 │    2 │    0 │    1 │    3 │   53 │   20 │   58 │   66 │   67 │   50 │   15 │   48 │
│ 45  │ 王昌   │ 9492 │    1 │    1 │    1 │    3 │   60 │   23 │   64 │   52 │   39 │   73 │    6 │   89 │
│ 46  │ 王基   │ 9D1E │    2 │    0 │    1 │    3 │   71 │   70 │   72 │   69 │   47 │   71 │   28 │   57 │
│ 47  │ 王修   │ D098 │    1 │    2 │    1 │    0 │   37 │   15 │   42 │   65 │   68 │   69 │  148 │   74 │
│ 48  │ 簡雍   │  218 │    2 │    1 │    2 │    1 │   36 │   11 │   42 │   68 │   73 │   79 │   74 │   82 │
│ 49  │ 郭奕   │   14 │    2 │    1 │    1 │    3 │   23 │   13 │   29 │   65 │   80 │   47 │   25 │   58 │
│ 50  │ 金環結 │   48 │    0 │    2 │    1 │    1 │   64 │   20 │   60 │   12 │   14 │   15 │   50 │   20 │
